,precision,recall,f1-score,support
U1,1.0,1.0,1.0,94.0
U2,1.0,0.9529411764705882,0.9759036144578312,85.0
U3,0.9135802469135802,0.9866666666666667,0.9487179487179487,75.0
U4,0.9876543209876543,0.975609756097561,0.9815950920245398,82.0
U5,1.0,0.9662921348314607,0.9828571428571428,89.0
U6,0.92,1.0,0.9583333333333334,69.0
U7,0.8823529411764706,0.967741935483871,0.923076923076923,31.0
U8,0.9880952380952381,0.9651162790697675,0.9764705882352942,86.0
U9,1.0,0.9387755102040817,0.968421052631579,49.0
U10,0.9900990099009901,0.9900990099009901,0.9900990099009901,101.0
U11,0.9701492537313433,0.9701492537313433,0.9701492537313433,67.0
U12,0.9795918367346939,0.8888888888888888,0.9320388349514563,54.0
U13,0.9864864864864865,1.0,0.9931972789115647,73.0
U14,0.9705882352941176,1.0,0.9850746268656716,66.0
accuracy,0.9745347698334965,0.9745347698334965,0.9745347698334965,0.9745347698334965
macro avg,0.9706141120943268,0.9715914722389442,0.9704239071211154,1021.0
weighted avg,0.9757939282260196,0.9745347698334965,0.9746215937773597,1021.0
